"","Gene_ID","Comparison"
"474","Cluster-15354.66916","Cv653"
"475","Cluster-28510.2","Cv653"
"476","Cluster-15354.87756","Cv653"
"477","Cluster-15354.67457","Cv653"
"478","Cluster-15354.50299","Cv653"
"479","Cluster-15354.40323","Cv653"
"480","Cluster-15354.107015","Cv653"
"481","Cluster-48422.1","Cv653"
"482","Cluster-15354.111063","Cv653"
"483","Cluster-15354.76174","Cv653"
"484","Cluster-15354.60252","Cv653"
"485","Cluster-15354.117117","Cv653"
"486","Cluster-15354.87108","Cv653"
"487","Cluster-15354.80933","Cv653"
"488","Cluster-15354.26774","Cv653"
"489","Cluster-15354.84838","Cv653"
"490","Cluster-15354.101366","Cv653"
"491","Cluster-15354.122486","Cv653"
"492","Cluster-50808.0","Cv653"
"493","Cluster-45263.4","Cv653"
"494","Cluster-15354.102329","Cv653"
"495","Cluster-15354.111777","Cv653"
"496","Cluster-15354.80593","Cv653"
"497","Cluster-15354.64384","Cv653"
"498","Cluster-15354.83327","Cv653"
"499","Cluster-15354.96163","Cv653"
"500","Cluster-15354.78938","Cv653"
"501","Cluster-15354.106206","Cv653"
"502","Cluster-15354.131060","Cv653"
"503","Cluster-15354.95161","Cv653"
"504","Cluster-15354.72231","Cv653"
"505","Cluster-15354.40917","Cv653"
"506","Cluster-15354.47795","Cv653"
"507","Cluster-15354.80316","Cv653"
"508","Cluster-15354.94994","Cv653"
"509","Cluster-15354.40520","Cv653"
"510","Cluster-15354.87579","Cv653"
"511","Cluster-15354.109097","Cv653"
"512","Cluster-15354.85465","Cv653"
"513","Cluster-15354.19639","Cv653"
"514","Cluster-15354.127512","Cv653"
"515","Cluster-15354.73309","Cv653"
"516","Cluster-15354.83749","Cv653"
"517","Cluster-15354.77828","Cv653"
"518","Cluster-15354.68702","Cv653"
"519","Cluster-15354.83658","Cv653"
"520","Cluster-15354.109138","Cv653"
"521","Cluster-15354.70839","Cv653"
"522","Cluster-15354.83659","Cv653"
"523","Cluster-15354.134930","Cv653"
"524","Cluster-15354.75007","Cv653"
"525","Cluster-15354.60902","Cv653"
"526","Cluster-15354.76454","Cv653"
"527","Cluster-15354.83385","Cv653"
"528","Cluster-15354.33561","Cv653"
"529","Cluster-15354.39628","Cv653"
"530","Cluster-15354.117639","Cv653"
"531","Cluster-15354.18453","Cv653"
"532","Cluster-15354.49221","Cv653"
"533","Cluster-15354.81797","Cv653"
"534","Cluster-15354.61936","Cv653"
"535","Cluster-32018.0","Cv653"
"536","Cluster-15354.130614","Cv653"
"537","Cluster-15354.88678","Cv653"
"538","Cluster-15354.124769","Cv653"
"539","Cluster-15354.95740","Cv653"
"540","Cluster-15354.19363","Cv653"
"541","Cluster-15354.19291","Cv653"
"542","Cluster-15354.13929","Cv653"
"543","Cluster-15354.104956","Cv653"
"544","Cluster-15354.67729","Cv653"
"545","Cluster-15354.83769","Cv653"
"546","Cluster-15354.88399","Cv653"
"547","Cluster-15354.104976","Cv653"
"548","Cluster-15354.88786","Cv653"
"549","Cluster-15354.23335","Cv653"
"550","Cluster-15354.99508","Cv653"
"551","Cluster-15354.106188","Cv653"
"552","Cluster-15354.23493","Cv653"
"553","Cluster-15354.48960","Cv653"
"554","Cluster-15354.67229","Cv653"
"555","Cluster-15354.60654","Cv653"
"556","Cluster-15354.110818","Cv653"
"557","Cluster-15354.81884","Cv653"
"558","Cluster-15354.134530","Cv653"
"559","Cluster-15354.69328","Cv653"
"560","Cluster-15354.117109","Cv653"
"561","Cluster-15354.79150","Cv653"
"562","Cluster-15354.106004","Cv653"
"563","Cluster-15354.79417","Cv653"
"564","Cluster-15354.113785","Cv653"
"565","Cluster-15354.130176","Cv653"
"566","Cluster-15354.108136","Cv653"
"567","Cluster-15354.36391","Cv653"
"568","Cluster-14528.1","Cv653"
"569","Cluster-15354.60134","Cv653"
"570","Cluster-15354.135253","Cv653"
"571","Cluster-15354.20930","Cv653"
"572","Cluster-15354.81303","Cv653"
"573","Cluster-15354.82146","Cv653"
"574","Cluster-15354.84883","Cv653"
"575","Cluster-15354.72537","Cv653"
"576","Cluster-15354.89066","Cv653"
"577","Cluster-15354.124685","Cv653"
"578","Cluster-15354.64541","Cv653"
"579","Cluster-15354.47842","Cv653"
"580","Cluster-15354.100172","Cv653"
"581","Cluster-15354.70626","Cv653"
"582","Cluster-15354.69263","Cv653"
"583","Cluster-15354.121099","Cv653"
"584","Cluster-15354.74661","Cv653"
"585","Cluster-15354.109441","Cv653"
"586","Cluster-15354.107053","Cv653"
"587","Cluster-15354.81265","Cv653"
"588","Cluster-15354.118994","Cv653"
"589","Cluster-15354.23476","Cv653"
"590","Cluster-15354.5019","Cv653"
"591","Cluster-15354.82390","Cv653"
"592","Cluster-15354.81743","Cv653"
"593","Cluster-15354.144856","Cv653"
"594","Cluster-15354.58071","Cv653"
"595","Cluster-15354.91254","Cv653"
"596","Cluster-15354.62464","Cv653"
"597","Cluster-15354.64805","Cv653"
"598","Cluster-15354.104508","Cv653"
"599","Cluster-15354.102960","Cv653"
"600","Cluster-15354.114843","Cv653"
"601","Cluster-15354.57416","Cv653"
"602","Cluster-15354.42634","Cv653"
"603","Cluster-15354.25580","Cv653"
"604","Cluster-15354.78339","Cv653"
"605","Cluster-15354.36004","Cv653"
"606","Cluster-15354.59200","Cv653"
"607","Cluster-15354.339","Cv653"
"608","Cluster-15354.145368","Cv653"
"609","Cluster-15354.77405","Cv653"
"610","Cluster-15354.69833","Cv653"
"611","Cluster-15354.13034","Cv653"
"612","Cluster-15354.98102","Cv653"
"613","Cluster-15354.119456","Cv653"
"614","Cluster-15354.124793","Cv653"
"615","Cluster-15354.77455","Cv653"
"616","Cluster-15354.35524","Cv653"
"617","Cluster-15354.61104","Cv653"
"618","Cluster-15354.66830","Cv653"
"619","Cluster-16476.4","Cv653"
"620","Cluster-15354.56834","Cv653"
"621","Cluster-15354.84839","Cv653"
"622","Cluster-15354.59913","Cv653"
"623","Cluster-15354.88622","Cv653"
"624","Cluster-15354.90018","Cv653"
"625","Cluster-54316.0","Cv653"
"626","Cluster-15354.88459","Cv653"
"627","Cluster-15354.90922","Cv653"
"628","Cluster-15354.37783","Cv653"
"629","Cluster-15354.94800","Cv653"
"630","Cluster-15354.89037","Cv653"
"631","Cluster-15354.61032","Cv653"
"632","Cluster-15354.57322","Cv653"
"633","Cluster-15354.84113","Cv653"
"634","Cluster-15354.87832","Cv653"
"635","Cluster-15354.69822","Cv653"
"636","Cluster-15354.116795","Cv653"
"637","Cluster-15354.78814","Cv653"
"638","Cluster-15354.147323","Cv653"
"639","Cluster-15354.83382","Cv653"
"640","Cluster-15354.83960","Cv653"
"641","Cluster-15354.2385","Cv653"
"642","Cluster-15354.111195","Cv653"
"643","Cluster-15354.16639","Cv653"
"644","Cluster-15354.106011","Cv653"
"645","Cluster-15354.85769","Cv653"
"646","Cluster-15354.69514","Cv653"
"647","Cluster-15354.56112","Cv653"
"648","Cluster-15354.114750","Cv653"
"649","Cluster-15354.97814","Cv653"
"650","Cluster-15354.92670","Cv653"
"651","Cluster-15354.58350","Cv653"
"652","Cluster-15354.102075","Cv653"
"653","Cluster-15354.94789","Cv653"
"654","Cluster-15354.82881","Cv653"
"655","Cluster-15354.91439","Cv653"
"656","Cluster-15354.67552","Cv653"
"657","Cluster-15354.72738","Cv653"
"658","Cluster-15354.81913","Cv653"
"659","Cluster-15354.32560","Cv653"
"660","Cluster-34796.3","Cv653"
"661","Cluster-15354.78453","Cv653"
"662","Cluster-15354.67826","Cv653"
"663","Cluster-15354.12730","Cv653"
"664","Cluster-15354.78930","Cv653"
"665","Cluster-13954.7","Cv653"
"666","Cluster-15354.85260","Cv653"
"667","Cluster-15354.96993","Cv653"
"668","Cluster-15354.90506","Cv653"
"669","Cluster-15354.146375","Cv653"
"670","Cluster-15354.112901","Cv653"
"671","Cluster-15354.78755","Cv653"
"672","Cluster-15354.84802","Cv653"
"673","Cluster-15354.105417","Cv653"
"674","Cluster-15354.72825","Cv653"
"675","Cluster-15354.128706","Cv653"
"676","Cluster-15354.110603","Cv653"
"677","Cluster-15354.91861","Cv653"
"678","Cluster-15354.12734","Cv653"
"679","Cluster-15354.46982","Cv653"
"680","Cluster-15354.34522","Cv653"
"681","Cluster-15354.107408","Cv653"
"682","Cluster-21113.0","Cv653"
"683","Cluster-15354.82887","Cv653"
"684","Cluster-15354.78557","Cv653"
"685","Cluster-15354.135726","Cv653"
"686","Cluster-15354.116366","Cv653"
"687","Cluster-15354.101369","Cv653"
"688","Cluster-15354.85147","Cv653"
"689","Cluster-15354.85352","Cv653"
"690","Cluster-15354.88563","Cv653"
"691","Cluster-15354.128654","Cv653"
"692","Cluster-15354.105381","Cv653"
"693","Cluster-15354.123023","Cv653"
"694","Cluster-15354.85633","Cv653"
"695","Cluster-15354.6988","Cv653"
"696","Cluster-15354.99765","Cv653"
"697","Cluster-15354.115041","Cv653"
"698","Cluster-15354.83813","Cv653"
