"","Gene_ID","Comparison"
"265","PGSC0003DMG401028661","Cv653"
"266","PGSC0003DMG401011998","Cv653"
"267","PGSC0003DMG400029617","Cv653"
"268","PGSC0003DMG400011977","Cv653"
"269","PGSC0003DMG400009440","Cv653"
"270","PGSC0003DMG400014102","Cv653"
"271","PGSC0003DMG400025098","Cv653"
"272","PGSC0003DMG400018094","Cv653"
"273","PGSC0003DMG400004625","Cv653"
"274","PGSC0003DMG400027012","Cv653"
"275","PGSC0003DMG400024765","Cv653"
"276","PGSC0003DMG400031377","Cv653"
"277","PGSC0003DMG401022455","Cv653"
"278","PGSC0003DMG400029107","Cv653"
"279","PGSC0003DMG400000286","Cv653"
"280","PGSC0003DMG401025807","Cv653"
"281","PGSC0003DMG400008702","Cv653"
"282","PGSC0003DMG400027530","Cv653"
"283","PGSC0003DMG400026222","Cv653"
"284","PGSC0003DMG400021761","Cv653"
"285","Novel00819","Cv653"
"286","PGSC0003DMG400031137","Cv653"
"287","PGSC0003DMG400025161","Cv653"
"288","PGSC0003DMG400003863","Cv653"
"289","PGSC0003DMG400012191","Cv653"
"290","PGSC0003DMG401024842","Cv653"
"291","PGSC0003DMG401004368","Cv653"
"292","PGSC0003DMG400021247","Cv653"
"293","Novel00335","Cv653"
"294","PGSC0003DMG400029408","Cv653"
"295","PGSC0003DMG400008100","Cv653"
"296","Novel02466","Cv653"
"297","PGSC0003DMG400028160","Cv653"
"298","PGSC0003DMG400031093","Cv653"
"299","PGSC0003DMG400017341","Cv653"
"300","PGSC0003DMG400010802","Cv653"
"301","PGSC0003DMG400021051","Cv653"
"302","PGSC0003DMG400012640","Cv653"
"303","PGSC0003DMG400020703","Cv653"
"304","PGSC0003DMG401005911","Cv653"
"305","PGSC0003DMG401000927","Cv653"
"306","PGSC0003DMG400031166","Cv653"
"307","PGSC0003DMG400028267","Cv653"
"308","PGSC0003DMG400006610","Cv653"
"309","PGSC0003DMG400025778","Cv653"
"310","PGSC0003DMG400011907","Cv653"
"311","PGSC0003DMG400008256","Cv653"
"312","PGSC0003DMG400025459","Cv653"
"313","PGSC0003DMG400007797","Cv653"
"314","PGSC0003DMG400010437","Cv653"
"315","PGSC0003DMG401021514","Cv653"
"316","PGSC0003DMG400002167","Cv653"
"317","PGSC0003DMG400001049","Cv653"
"318","PGSC0003DMG400011451","Cv653"
"319","PGSC0003DMG400028112","Cv653"
"320","PGSC0003DMG400025254","Cv653"
"321","PGSC0003DMG400000505","Cv653"
"322","PGSC0003DMG402022752","Cv653"
"323","Novel01962","Cv653"
"324","PGSC0003DMG402030647","Cv653"
"325","PGSC0003DMG400027630","Cv653"
"326","PGSC0003DMG400004643","Cv653"
"327","PGSC0003DMG400028818","Cv653"
"328","PGSC0003DMG400014322","Cv653"
"329","PGSC0003DMG400032281","Cv653"
"330","PGSC0003DMG400001630","Cv653"
"331","PGSC0003DMG400020497","Cv653"
"332","PGSC0003DMG400012547","Cv653"
"333","PGSC0003DMG400027149","Cv653"
"334","PGSC0003DMG400042481","Cv653"
"335","Novel01084","Cv653"
"336","PGSC0003DMG400029283","Cv653"
"337","Novel00551","Cv653"
"338","Novel03066","Cv653"
"339","PGSC0003DMG400004605","Cv653"
"340","PGSC0003DMG400009850","Cv653"
"341","PGSC0003DMG400031787","Cv653"
"342","PGSC0003DMG400022711","Cv653"
"343","PGSC0003DMG400003993","Cv653"
"344","PGSC0003DMG400008404","Cv653"
"345","PGSC0003DMG403025662","Cv653"
"346","PGSC0003DMG400005010","Cv653"
"347","PGSC0003DMG400022578","Cv653"
"348","Novel02733","Cv653"
"349","PGSC0003DMG400004876","Cv653"
"350","PGSC0003DMG400033874","Cv653"
"351","PGSC0003DMG400024685","Cv653"
"352","PGSC0003DMG400026821","Cv653"
"353","PGSC0003DMG400022225","Cv653"
"354","Novel02346","Cv653"
"355","PGSC0003DMG400022635","Cv653"
"356","PGSC0003DMG401012456","Cv653"
"357","PGSC0003DMG400012421","Cv653"
"358","PGSC0003DMG400017570","Cv653"
"359","PGSC0003DMG400029792","Cv653"
"360","Novel01629","Cv653"
"361","PGSC0003DMG400020589","Cv653"
"362","PGSC0003DMG401014796","Cv653"
"363","PGSC0003DMG400001834","Cv653"
"364","PGSC0003DMG400033903","Cv653"
"365","PGSC0003DMG400001410","Cv653"
"366","PGSC0003DMG400030582","Cv653"
"367","Novel03458","Cv653"
"368","PGSC0003DMG400005871","Cv653"
"369","PGSC0003DMG400043507","Cv653"
"370","PGSC0003DMG400008724","Cv653"
"371","PGSC0003DMG401030227","Cv653"
"372","PGSC0003DMG400002597","Cv653"
"373","Novel02246","Cv653"
"374","PGSC0003DMG400016010","Cv653"
"375","PGSC0003DMG400003960","Cv653"
"376","PGSC0003DMG400000156","Cv653"
"377","PGSC0003DMG400026212","Cv653"
"378","PGSC0003DMG402024348","Cv653"
"379","PGSC0003DMG400006450","Cv653"
"380","PGSC0003DMG400027964","Cv653"
"381","PGSC0003DMG400012242","Cv653"
"382","PGSC0003DMG400013035","Cv653"
"383","PGSC0003DMG400003679","Cv653"
"384","PGSC0003DMG400009500","Cv653"
"385","PGSC0003DMG400025007","Cv653"
"386","PGSC0003DMG400020305","Cv653"
"387","PGSC0003DMG400003056","Cv653"
"388","PGSC0003DMG400004366","Cv653"
"389","PGSC0003DMG400004913","Cv653"
"390","PGSC0003DMG400032094","Cv653"
"391","PGSC0003DMG400009565","Cv653"
"392","PGSC0003DMG400017330","Cv653"
"393","PGSC0003DMG400025433","Cv653"
"394","PGSC0003DMG400012012","Cv653"
"395","Novel01922","Cv653"
"396","PGSC0003DMG400027276","Cv653"
"397","Novel00312","Cv653"
"398","PGSC0003DMG400025006","Cv653"
"399","PGSC0003DMG400012307","Cv653"
"400","PGSC0003DMG400023629","Cv653"
"401","PGSC0003DMG402006689","Cv653"
"402","PGSC0003DMG400025317","Cv653"
"403","PGSC0003DMG400017390","Cv653"
"404","PGSC0003DMG400024093","Cv653"
"405","PGSC0003DMG400022589","Cv653"
"406","PGSC0003DMG400006176","Cv653"
"407","PGSC0003DMG400002156","Cv653"
"408","Novel01130","Cv653"
"409","Novel01974","Cv653"
"410","PGSC0003DMG400014666","Cv653"
"411","PGSC0003DMG401019602","Cv653"
"412","PGSC0003DMG400005109","Cv653"
"413","PGSC0003DMG400004043","Cv653"
"414","PGSC0003DMG403005911","Cv653"
"415","PGSC0003DMG400033616","Cv653"
"416","PGSC0003DMG400020844","Cv653"
"417","PGSC0003DMG400023344","Cv653"
"418","PGSC0003DMG400005170","Cv653"
"419","Novel02692","Cv653"
"420","PGSC0003DMG400018922","Cv653"
"421","PGSC0003DMG400010310","Cv653"
"422","PGSC0003DMG401011946","Cv653"
"423","PGSC0003DMG400026211","Cv653"
"424","PGSC0003DMG400027965","Cv653"
"425","PGSC0003DMG400008313","Cv653"
"426","PGSC0003DMG400019190","Cv653"
"427","PGSC0003DMG400012261","Cv653"
"428","PGSC0003DMG400028520","Cv653"
"429","PGSC0003DMG400005837","Cv653"
"430","PGSC0003DMG400015287","Cv653"
"431","PGSC0003DMG400018115","Cv653"
"432","PGSC0003DMG402015682","Cv653"
"433","PGSC0003DMG400004630","Cv653"
"434","PGSC0003DMG400027393","Cv653"
"435","PGSC0003DMG400031119","Cv653"
"436","PGSC0003DMG402015759","Cv653"
"437","PGSC0003DMG400007010","Cv653"
"438","PGSC0003DMG401011539","Cv653"
"439","Novel03101","Cv653"
"440","PGSC0003DMG400016227","Cv653"
"441","PGSC0003DMG400016145","Cv653"
"442","PGSC0003DMG400004082","Cv653"
"443","PGSC0003DMG400021142","Cv653"
"444","PGSC0003DMG400035337","Cv653"
"445","Novel01122","Cv653"
"446","Novel00009","Cv653"
"447","PGSC0003DMG400008079","Cv653"
"448","PGSC0003DMG400012951","Cv653"
"449","PGSC0003DMG400018328","Cv653"
"450","PGSC0003DMG400018235","Cv653"
"451","Novel00406","Cv653"
"452","PGSC0003DMG400014875","Cv653"
"453","PGSC0003DMG400008187","Cv653"
"454","PGSC0003DMG400019072","Cv653"
"455","PGSC0003DMG400016120","Cv653"
"456","PGSC0003DMG400011272","Cv653"
"457","Novel03538","Cv653"
"458","PGSC0003DMG400008163","Cv653"
"459","PGSC0003DMG400013022","Cv653"
"460","PGSC0003DMG400003521","Cv653"
"461","Novel00827","Cv653"
"462","PGSC0003DMG400014800","Cv653"
"463","Novel03041","Cv653"
"464","PGSC0003DMG400003522","Cv653"
"465","Novel00024","Cv653"
"466","PGSC0003DMG400024959","Cv653"
"467","PGSC0003DMG400015636","Cv653"
"468","PGSC0003DMG400011655","Cv653"
"469","PGSC0003DMG400014582","Cv653"
"470","PGSC0003DMG400022426","Cv653"
"471","Novel00702","Cv653"
"472","PGSC0003DMG400026163","Cv653"
"473","PGSC0003DMG400025632","Cv653"
"474","PGSC0003DMG400022433","Cv653"
"475","PGSC0003DMG400016508","Cv653"
"476","PGSC0003DMG400012562","Cv653"
"477","PGSC0003DMG401022752","Cv653"
"478","PGSC0003DMG400033689","Cv653"
"479","PGSC0003DMG400009536","Cv653"
"480","PGSC0003DMG400029061","Cv653"
"481","PGSC0003DMG400031728","Cv653"
"482","PGSC0003DMG400004686","Cv653"
"483","PGSC0003DMG400003291","Cv653"
"484","PGSC0003DMG400003123","Cv653"
"485","PGSC0003DMG400008796","Cv653"
"486","PGSC0003DMG400021345","Cv653"
"487","PGSC0003DMG400025305","Cv653"
"488","PGSC0003DMG400025108","Cv653"
"489","PGSC0003DMG400031471","Cv653"
"490","PGSC0003DMG400021726","Cv653"
"491","PGSC0003DMG400033082","Cv653"
"492","PGSC0003DMG400029517","Cv653"
"493","PGSC0003DMG400009061","Cv653"
"494","Novel02546","Cv653"
"495","PGSC0003DMG400011029","Cv653"
"496","Novel01845","Cv653"
"497","PGSC0003DMG400002837","Cv653"
"498","PGSC0003DMG400031473","Cv653"
"499","PGSC0003DMG400006720","Cv653"
"500","PGSC0003DMG400024757","Cv653"
"501","PGSC0003DMG402022197","Cv653"
"502","PGSC0003DMG402031070","Cv653"
"503","PGSC0003DMG400003865","Cv653"
"504","PGSC0003DMG400011096","Cv653"
"505","PGSC0003DMG402028848","Cv653"
"506","PGSC0003DMG400009900","Cv653"
"507","PGSC0003DMG400018622","Cv653"
"508","PGSC0003DMG400027636","Cv653"
"509","PGSC0003DMG400014855","Cv653"
"510","PGSC0003DMG400002868","Cv653"
"511","PGSC0003DMG400000047","Cv653"
"512","PGSC0003DMG400007097","Cv653"
"513","PGSC0003DMG400004124","Cv653"
"514","PGSC0003DMG400021441","Cv653"
"515","PGSC0003DMG401019176","Cv653"
"516","Novel03448","Cv653"
"517","PGSC0003DMG400028315","Cv653"
"518","PGSC0003DMG400030153","Cv653"
"519","PGSC0003DMG400005339","Cv653"
"520","Novel01140","Cv653"
"521","EPlSTUG00000001749","Cv653"
"522","PGSC0003DMG402003005","Cv653"
"523","PGSC0003DMG400018060","Cv653"
"524","PGSC0003DMG400036004","Cv653"
"525","PGSC0003DMG400028280","Cv653"
"526","PGSC0003DMG401007970","Cv653"
"527","PGSC0003DMG400022294","Cv653"
"528","PGSC0003DMG400011277","Cv653"
"529","PGSC0003DMG400011974","Cv653"
"530","PGSC0003DMG400030548","Cv653"
"531","PGSC0003DMG400000976","Cv653"
"532","PGSC0003DMG400021857","Cv653"
"533","PGSC0003DMG400028271","Cv653"
"534","PGSC0003DMG400029365","Cv653"
"535","PGSC0003DMG400021875","Cv653"
"536","PGSC0003DMG400012536","Cv653"
"537","Novel02442","Cv653"
"538","PGSC0003DMG400001513","Cv653"
"539","PGSC0003DMG400014238","Cv653"
"540","PGSC0003DMG400013176","Cv653"
"541","PGSC0003DMG400019307","Cv653"
"542","PGSC0003DMG400021902","Cv653"
"543","Novel01234","Cv653"
"544","PGSC0003DMG400023569","Cv653"
"545","PGSC0003DMG400004483","Cv653"
"546","Novel01854","Cv653"
"547","PGSC0003DMG400016280","Cv653"
"548","PGSC0003DMG400025028","Cv653"
"549","Novel01041","Cv653"
"550","Novel00168","Cv653"
"551","Novel00271","Cv653"
"552","PGSC0003DMG400008262","Cv653"
"553","PGSC0003DMG400022894","Cv653"
"554","PGSC0003DMG400026859","Cv653"
"555","PGSC0003DMG400020248","Cv653"
"556","PGSC0003DMG401017590","Cv653"
"557","PGSC0003DMG400029570","Cv653"
"558","PGSC0003DMG400003563","Cv653"
"559","PGSC0003DMG402021193","Cv653"
"560","PGSC0003DMG400005046","Cv653"
"561","PGSC0003DMG400005960","Cv653"
"562","PGSC0003DMG400016551","Cv653"
"563","PGSC0003DMG400020550","Cv653"
"564","PGSC0003DMG401012010","Cv653"
"565","PGSC0003DMG400013457","Cv653"
"566","PGSC0003DMG400028726","Cv653"
"567","PGSC0003DMG400019508","Cv653"
"568","Novel03333","Cv653"
"569","PGSC0003DMG401017675","Cv653"
"570","Novel03395","Cv653"
"571","Novel00924","Cv653"
"572","PGSC0003DMG400018461","Cv653"
"573","PGSC0003DMG400031369","Cv653"
"574","PGSC0003DMG402015686","Cv653"
"575","PGSC0003DMG403016183","Cv653"
"576","Novel00322","Cv653"
"577","PGSC0003DMG400009181","Cv653"
"578","PGSC0003DMG400023272","Cv653"
