PGSC0003DMG400003826,GO:0009058
PGSC0003DMG400003865,GO:0009987
PGSC0003DMG400003870,GO:0009987
PGSC0003DMG400003932,GO:0000719
PGSC0003DMG400003960,GO:0008150
PGSC0003DMG400004017,GO:0006629
PGSC0003DMG400004036,GO:0008152
PGSC0003DMG400004037,GO:0006796
PGSC0003DMG400004082,GO:0006725
PGSC0003DMG400004124,GO:0043043
PGSC0003DMG400004168,GO:0044710
PGSC0003DMG400004170,GO:0009987
PGSC0003DMG400004291,GO:0055085
PGSC0003DMG400004296,GO:0006952
PGSC0003DMG400004299,GO:0019219
PGSC0003DMG400004306,GO:0019252
PGSC0003DMG400004311,GO:0044699
PGSC0003DMG400004363,GO:0071704
PGSC0003DMG400004422,GO:0044765
PGSC0003DMG400004532,GO:0022900
PGSC0003DMG400004573,GO:0008150
PGSC0003DMG400004593,GO:0008152
PGSC0003DMG400004601,GO:0006796
PGSC0003DMG400004605,GO:0044238
PGSC0003DMG400004630,GO:0006631
PGSC0003DMG400004643,GO:0050789
PGSC0003DMG400004659,GO:0008152
PGSC0003DMG400004684,GO:0006725
PGSC0003DMG400004686,GO:0044238
PGSC0003DMG400004698,GO:0006081
PGSC0003DMG400004735,GO:0009892
PGSC0003DMG400004756,GO:0006950
PGSC0003DMG400004810,GO:0008152
PGSC0003DMG400004838,GO:0043170
PGSC0003DMG400004851,GO:0006412
PGSC0003DMG400004923,GO:0008152
PGSC0003DMG400005046,GO:0006952
PGSC0003DMG400005082,GO:0008152
PGSC0003DMG400005097,GO:0019725
PGSC0003DMG400005170,GO:0008150
PGSC0003DMG400005192,GO:0009987
PGSC0003DMG400005199,GO:0009987
PGSC0003DMG400005214,GO:0044699
PGSC0003DMG400005269,GO:0044765
PGSC0003DMG400005372,GO:0044260
PGSC0003DMG400005456,GO:0043170
PGSC0003DMG400005494,GO:0008150
PGSC0003DMG400005580,GO:0044710
PGSC0003DMG400005612,GO:0006820
PGSC0003DMG400005628,GO:0071704
PGSC0003DMG400005642,GO:0006412
PGSC0003DMG400005661,GO:0015893
PGSC0003DMG400005713,GO:0051179
PGSC0003DMG400005723,GO:0016226
PGSC0003DMG400005760,GO:1902578
PGSC0003DMG400005837,GO:0097659
PGSC0003DMG400005862,GO:0006518
PGSC0003DMG400005871,GO:0060255
PGSC0003DMG400005931,GO:0008152
PGSC0003DMG400005960,GO:0008150
PGSC0003DMG400005975,GO:0019538
PGSC0003DMG400006003,GO:0008150
PGSC0003DMG400006078,GO:0050789
PGSC0003DMG400006122,GO:0071840
PGSC0003DMG400006184,GO:0009056
PGSC0003DMG400006185,GO:0044265
PGSC0003DMG400006211,GO:0065007
PGSC0003DMG400006283,GO:0009987
PGSC0003DMG400006351,GO:0036211
PGSC0003DMG400006368,GO:0044699
PGSC0003DMG400006381,GO:0044699
PGSC0003DMG400006385,GO:0044699
PGSC0003DMG400006450,GO:0009066
PGSC0003DMG400006569,GO:0010033
PGSC0003DMG400006610,GO:0008152
PGSC0003DMG400006640,GO:0070647
PGSC0003DMG400006713,GO:0008152
PGSC0003DMG400006769,GO:0006950
PGSC0003DMG400006814,GO:0050896
PGSC0003DMG400006956,GO:0015976
PGSC0003DMG400006991,GO:0044260
PGSC0003DMG400006993,GO:0044248
PGSC0003DMG400007000,GO:0044699
PGSC0003DMG400007054,GO:0051252
PGSC0003DMG400007058,GO:0023052
PGSC0003DMG400007074,GO:0055114
PGSC0003DMG400007081,GO:0015979
PGSC0003DMG400007119,GO:0019538
PGSC0003DMG400007121,GO:0044237
PGSC0003DMG400007188,GO:0008152
