gene_id,B_653_readcount,B_CON_readcount,log2FoldChange,pval,padj
Cluster-15354.36521,5.830254698,62.2585831,-3.4166,2.13E-05,0.0082715
Cluster-15354.106422,2329.292797,997.2107611,1.2239,2.15E-05,0.008323
Cluster-15354.126587,33.89489788,150.578054,-2.1514,2.16E-05,0.0083257
Cluster-15354.82508,1357.073305,355.0433224,1.9344,2.16E-05,0.0083386
Cluster-15354.63964,1083.321906,425.151272,1.3494,2.17E-05,0.0083515
Cluster-15354.61100,103.3058758,17.22322821,2.5845,2.18E-05,0.0083544
Cluster-15354.88877,824.976236,322.2074096,1.3564,2.19E-05,0.0083991
Cluster-30185.0,25.87904763,0,Inf,2.20E-05,0.008426
Cluster-15354.103987,787.2893339,205.5494649,1.9374,2.24E-05,0.0085566
Cluster-15354.105417,409.7303956,1004.234694,-1.2933,2.27E-05,0.0086419
Cluster-15354.60254,405.2670656,136.3309257,1.5718,2.28E-05,0.0086547
Cluster-33890.2,25.74381482,0,Inf,2.28E-05,0.0086547
Cluster-15354.77172,256.8617572,676.6676853,-1.3975,2.30E-05,0.0087288
Cluster-15354.30654,445.5604807,151.9605188,1.5519,2.31E-05,0.0087384
Cluster-15354.78202,25.74887411,0,Inf,2.37E-05,0.0089531
Cluster-21582.0,0.261041153,23.09120857,-6.4669,2.37E-05,0.0089531
Cluster-15354.139861,0.522082306,40.58741526,-6.2806,2.41E-05,0.0090576
Cluster-15354.68964,0,204.9136314,#NAME?,2.42E-05,0.0090684
Cluster-15354.85128,25.66848663,0,Inf,2.42E-05,0.0090684
Cluster-15354.76827,4.516609515,57.45796784,-3.6692,2.44E-05,0.00914
Cluster-15354.96748,1195.795648,463.1586575,1.3684,2.47E-05,0.0092175
Cluster-15354.100356,1737.418734,628.6078573,1.4667,2.47E-05,0.009225
Cluster-15354.83550,19993.92967,7373.885217,1.4391,2.50E-05,0.0093022
Cluster-15354.19678,72.13154972,250.7923473,-1.7978,2.52E-05,0.0093494
