"","x"
"345","PGSC0003DMG403025662"
"346","PGSC0003DMG400005010"
"347","PGSC0003DMG400022578"
"348","Novel02733"
"349","PGSC0003DMG400004876"
"350","PGSC0003DMG400033874"
"351","PGSC0003DMG400024685"
"352","PGSC0003DMG400026821"
"353","PGSC0003DMG400022225"
"354","Novel02346"
"355","PGSC0003DMG400022635"
"356","PGSC0003DMG401012456"
"357","PGSC0003DMG400012421"
"358","PGSC0003DMG400017570"
"359","PGSC0003DMG400029792"
"360","Novel01629"
"361","PGSC0003DMG400020589"
"362","PGSC0003DMG401014796"
"363","PGSC0003DMG400001834"
"364","PGSC0003DMG400033903"
"365","PGSC0003DMG400001410"
"366","PGSC0003DMG400030582"
"367","Novel03458"
"368","PGSC0003DMG400005871"
"369","PGSC0003DMG400043507"
"370","PGSC0003DMG400008724"
"371","PGSC0003DMG401030227"
"372","PGSC0003DMG400002597"
"373","Novel02246"
"374","PGSC0003DMG400016010"
"375","PGSC0003DMG400003960"
"376","PGSC0003DMG400000156"
"377","PGSC0003DMG400026212"
"378","PGSC0003DMG402024348"
"379","PGSC0003DMG400006450"
"380","PGSC0003DMG400027964"
"381","PGSC0003DMG400012242"
"382","PGSC0003DMG400013035"
"383","PGSC0003DMG400003679"
"384","PGSC0003DMG400009500"
"385","PGSC0003DMG400025007"
"386","PGSC0003DMG400020305"
"387","PGSC0003DMG400003056"
"388","PGSC0003DMG400004366"
"389","PGSC0003DMG400004913"
"390","PGSC0003DMG400032094"
"391","PGSC0003DMG400009565"
"392","PGSC0003DMG400017330"
"393","PGSC0003DMG400025433"
"394","PGSC0003DMG400012012"
"395","Novel01922"
"396","PGSC0003DMG400027276"
"397","Novel00312"
"398","PGSC0003DMG400025006"
"399","PGSC0003DMG400012307"
"400","PGSC0003DMG400023629"
"401","PGSC0003DMG402006689"
"402","PGSC0003DMG400025317"
"403","PGSC0003DMG400017390"
"404","PGSC0003DMG400024093"
"405","PGSC0003DMG400022589"
"406","PGSC0003DMG400006176"
"407","PGSC0003DMG400002156"
"408","Novel01130"
"409","Novel01974"
"410","PGSC0003DMG400014666"
"411","PGSC0003DMG401019602"
"412","PGSC0003DMG400005109"
"413","PGSC0003DMG400004043"
"414","PGSC0003DMG403005911"
"415","PGSC0003DMG400033616"
"416","PGSC0003DMG400020844"
"417","PGSC0003DMG400023344"
"418","PGSC0003DMG400005170"
"419","Novel02692"
"420","PGSC0003DMG400018922"
"421","PGSC0003DMG400010310"
"422","PGSC0003DMG401011946"
"423","PGSC0003DMG400026211"
"424","PGSC0003DMG400027965"
"425","PGSC0003DMG400008313"
"426","PGSC0003DMG400019190"
"427","PGSC0003DMG400012261"
"428","PGSC0003DMG400028520"
"429","PGSC0003DMG400005837"
"430","PGSC0003DMG400015287"
"431","PGSC0003DMG400018115"
"432","PGSC0003DMG402015682"
"433","PGSC0003DMG400004630"
"434","PGSC0003DMG400027393"
"435","PGSC0003DMG400031119"
"436","PGSC0003DMG402015759"
"437","PGSC0003DMG400007010"
"438","PGSC0003DMG401011539"
"439","Novel03101"
"440","PGSC0003DMG400016227"
"441","PGSC0003DMG400016145"
"442","PGSC0003DMG400004082"
"443","PGSC0003DMG400021142"
"444","PGSC0003DMG400035337"
"445","Novel01122"
"446","Novel00009"
"447","PGSC0003DMG400008079"
"448","PGSC0003DMG400012951"
"449","PGSC0003DMG400018328"
"450","PGSC0003DMG400018235"
"451","Novel00406"
"452","PGSC0003DMG400014875"
"453","PGSC0003DMG400008187"
"454","PGSC0003DMG400019072"
"455","PGSC0003DMG400016120"
"456","PGSC0003DMG400011272"
"457","Novel03538"
"458","PGSC0003DMG400008163"
"459","PGSC0003DMG400013022"
"460","PGSC0003DMG400003521"
"461","Novel00827"
"462","PGSC0003DMG400014800"
"463","Novel03041"
"464","PGSC0003DMG400003522"
"465","Novel00024"
"466","PGSC0003DMG400024959"
"467","PGSC0003DMG400015636"
"468","PGSC0003DMG400011655"
"469","PGSC0003DMG400014582"
"470","PGSC0003DMG400022426"
"471","Novel00702"
"472","PGSC0003DMG400026163"
"473","PGSC0003DMG400025632"
"474","PGSC0003DMG400022433"
"475","PGSC0003DMG400016508"
"476","PGSC0003DMG400012562"
"477","PGSC0003DMG401022752"
"478","PGSC0003DMG400033689"
"479","PGSC0003DMG400009536"
"480","PGSC0003DMG400029061"
"481","PGSC0003DMG400031728"
"482","PGSC0003DMG400004686"
"483","PGSC0003DMG400003291"
"484","PGSC0003DMG400003123"
"485","PGSC0003DMG400008796"
"486","PGSC0003DMG400021345"
"487","PGSC0003DMG400025305"
"488","PGSC0003DMG400025108"
"489","PGSC0003DMG400031471"
"490","PGSC0003DMG400021726"
"491","PGSC0003DMG400033082"
"492","PGSC0003DMG400029517"
"493","PGSC0003DMG400009061"
"494","Novel02546"
"495","PGSC0003DMG400011029"
"496","Novel01845"
"497","PGSC0003DMG400002837"
"498","PGSC0003DMG400031473"
"499","PGSC0003DMG400006720"
"500","PGSC0003DMG400024757"
"501","PGSC0003DMG402022197"
"502","PGSC0003DMG402031070"
"503","PGSC0003DMG400003865"
"504","PGSC0003DMG400011096"
"505","PGSC0003DMG402028848"
"506","PGSC0003DMG400009900"
"507","PGSC0003DMG400018622"
"508","PGSC0003DMG400027636"
"509","PGSC0003DMG400014855"
"510","PGSC0003DMG400002868"
"511","PGSC0003DMG400000047"
"512","PGSC0003DMG400007097"
"513","PGSC0003DMG400004124"
"514","PGSC0003DMG400021441"
"515","PGSC0003DMG401019176"
