"","x"
"269","Novel00044"
"270","PGSC0003DMG400013417"
"271","PGSC0003DMG400030872"
"272","PGSC0003DMG400020986"
"273","PGSC0003DMG400012164"
"274","PGSC0003DMG400029894"
"275","PGSC0003DMG400010149"
"276","PGSC0003DMG400029768"
"277","PGSC0003DMG402022324"
"278","PGSC0003DMG400008677"
"279","PGSC0003DMG400001197"
"280","Novel00508"
"281","PGSC0003DMG400003042"
"282","PGSC0003DMG400018382"
"283","PGSC0003DMG400015661"
"284","PGSC0003DMG400024797"
"285","PGSC0003DMG400014580"
"286","PGSC0003DMG400007155"
"287","PGSC0003DMG400000332"
"288","PGSC0003DMG400004631"
"289","PGSC0003DMG400029662"
"290","PGSC0003DMG400027434"
"291","PGSC0003DMG400014198"
"292","PGSC0003DMG400016535"
"293","PGSC0003DMG400017946"
"294","PGSC0003DMG400022921"
"295","PGSC0003DMG400006131"
"296","PGSC0003DMG400006313"
"297","Novel03332"
"298","PGSC0003DMG400028124"
"299","PGSC0003DMG400021276"
"300","PGSC0003DMG400012653"
"301","PGSC0003DMG400028983"
"302","PGSC0003DMG402007970"
"303","PGSC0003DMG401003767"
"304","PGSC0003DMG400028617"
"305","PGSC0003DMG400017807"
"306","PGSC0003DMG401025314"
"307","PGSC0003DMG400031288"
"308","PGSC0003DMG400006003"
"309","PGSC0003DMG402008903"
"310","Novel00341"
"311","PGSC0003DMG400016491"
"312","Novel02107"
"313","PGSC0003DMG400004284"
"314","PGSC0003DMG400030144"
"315","PGSC0003DMG401027896"
"316","Novel00169"
"317","PGSC0003DMG400012235"
"318","PGSC0003DMG401000057"
"319","PGSC0003DMG400025159"
"320","PGSC0003DMG401003179"
"321","PGSC0003DMG400019535"
"322","PGSC0003DMG400011052"
"323","PGSC0003DMG400004363"
"324","PGSC0003DMG400024323"
"325","Novel01806"
"326","PGSC0003DMG402022167"
"327","PGSC0003DMG401009161"
"328","PGSC0003DMG400009887"
"329","PGSC0003DMG400010154"
"330","PGSC0003DMG400001396"
"331","PGSC0003DMG400004037"
"332","PGSC0003DMG400011294"
"333","PGSC0003DMG400000246"
"334","PGSC0003DMG400006572"
"335","PGSC0003DMG400018462"
"336","PGSC0003DMG400011031"
"337","PGSC0003DMG400029398"
"338","PGSC0003DMG401016933"
"339","PGSC0003DMG401018450"
"340","Novel03169"
"341","PGSC0003DMG400007477"
"342","PGSC0003DMG400029705"
"343","PGSC0003DMG400021389"
"344","PGSC0003DMG400027259"
"345","PGSC0003DMG400005580"
"346","PGSC0003DMG400006615"
"347","PGSC0003DMG400019824"
"348","PGSC0003DMG400014325"
"349","PGSC0003DMG400029736"
"350","PGSC0003DMG402008915"
"351","PGSC0003DMG400012614"
"352","PGSC0003DMG400000126"
"353","PGSC0003DMG400029338"
"354","PGSC0003DMG400008927"
"355","PGSC0003DMG400025230"
"356","PGSC0003DMG400020605"
"357","PGSC0003DMG400005992"
"358","PGSC0003DMG400027837"
"359","Novel01983"
"360","PGSC0003DMG400026569"
"361","PGSC0003DMG400024278"
"362","PGSC0003DMG400028483"
"363","PGSC0003DMG400014643"
"364","PGSC0003DMG400000815"
"365","Novel00164"
"366","PGSC0003DMG401014665"
"367","PGSC0003DMG400013481"
"368","PGSC0003DMG400012891"
"369","PGSC0003DMG400033038"
"370","PGSC0003DMG400030309"
"371","PGSC0003DMG400026461"
"372","PGSC0003DMG402029631"
"373","PGSC0003DMG400021740"
"374","Novel03343"
"375","EPlSTUG00000004892"
"376","PGSC0003DMG403028564"
"377","PGSC0003DMG400027372"
"378","PGSC0003DMG401001494"
"379","PGSC0003DMG400003090"
"380","PGSC0003DMG400001915"
"381","PGSC0003DMG400029934"
"382","PGSC0003DMG400030640"
"383","PGSC0003DMG400002920"
"384","PGSC0003DMG400004756"
"385","PGSC0003DMG400007481"
"386","PGSC0003DMG402014048"
"387","Novel03114"
"388","PGSC0003DMG400023657"
