Cluster-15354.134530,GO:0008033
Cluster-15354.134535,GO:0006432
Cluster-15354.134930,GO:0019385
Cluster-15354.134936,GO:0005975
Cluster-15354.135195,GO:0009058
Cluster-15354.135368,GO:0006457
Cluster-15354.135436,GO:0006810
Cluster-15354.136205,GO:0015031
Cluster-15354.136526,GO:0055114
Cluster-15354.137543,GO:0000372
Cluster-15354.138239,GO:0009069
Cluster-15354.138411,GO:0007165
Cluster-15354.138730,GO:0055114
Cluster-15354.138733,GO:0007165
Cluster-15354.138781,GO:0055085
Cluster-15354.139018,GO:0005985
Cluster-15354.139059,GO:0007165
Cluster-15354.139123,GO:0006418
Cluster-15354.139796,GO:0034229
Cluster-15354.139855,GO:0055114
Cluster-15354.139859,GO:0055114
Cluster-15354.14021,GO:0016567
Cluster-15354.14022,GO:0006355
Cluster-15354.140375,GO:0055114
Cluster-15354.140533,GO:0006396
Cluster-15354.14119,GO:0042967
Cluster-15354.141250,GO:0005992
Cluster-15354.141251,GO:0005992
Cluster-15354.14145,GO:0008152
Cluster-15354.141679,GO:0006281
Cluster-15354.142099,GO:0006313
Cluster-15354.143060,GO:0006629
Cluster-15354.143144,GO:0046656
Cluster-15354.143223,GO:0006468
Cluster-15354.143612,GO:0006505
Cluster-15354.14426,GO:0005986
Cluster-15354.144485,GO:0006741
Cluster-15354.145019,GO:0006914
Cluster-15354.145363,GO:0019538
Cluster-15354.145364,GO:0019538
Cluster-15354.145365,GO:0006308
Cluster-15354.145366,GO:0006355
Cluster-15354.145367,GO:0019538
Cluster-15354.145368,GO:0007264
Cluster-15354.145370,GO:0015074
Cluster-15354.145835,GO:0006804
Cluster-15354.145925,GO:0000723
Cluster-15354.146571,GO:0010508
Cluster-15354.146712,GO:0055114
Cluster-15354.147784,GO:0015074
Cluster-15354.147980,GO:0046486
Cluster-15354.148382,GO:0009306
Cluster-15354.149182,GO:0008152
Cluster-15354.149322,GO:0055114
Cluster-15354.149463,GO:0015031
Cluster-15354.149513,GO:0006355
Cluster-15354.149903,GO:0005983
Cluster-15354.150132,GO:0006810
Cluster-15354.150772,GO:0016567
Cluster-15354.151091,GO:0055085
Cluster-15354.151253,GO:0015074
Cluster-15354.157,GO:0006357
Cluster-15354.15824,GO:0015031
Cluster-15354.16639,GO:0007165
Cluster-15354.16868,GO:0032259
Cluster-15354.16978,GO:0006887
Cluster-15354.17031,GO:0051252
Cluster-15354.1729,GO:0055114
Cluster-15354.17306,GO:0007268
Cluster-15354.17309,GO:0007268
Cluster-15354.18453,GO:0006270
Cluster-15354.1847,GO:0006810
Cluster-15354.18501,GO:0016310
Cluster-15354.19092,GO:0000921
Cluster-15354.19639,GO:0042167
Cluster-15354.19919,GO:0016042
Cluster-15354.20378,GO:0006355
Cluster-15354.20930,GO:0006508
Cluster-15354.21477,GO:0015992
Cluster-15354.21560,GO:0006412
Cluster-15354.21766,GO:0042254
Cluster-15354.22182,GO:0015992
Cluster-15354.22205,GO:0055085
Cluster-15354.22449,GO:0006118
Cluster-15354.22747,GO:0005982
Cluster-15354.23167,GO:0016226
Cluster-15354.23476,GO:0006457
Cluster-15354.23564,GO:0006886
Cluster-15354.23815,GO:0007275
Cluster-15354.23982,GO:0006367
Cluster-15354.24368,GO:0055114
Cluster-15354.24854,GO:0046685
Cluster-15354.24887,GO:0042549
Cluster-15354.24989,GO:0016567
Cluster-15354.25005,GO:0006506
Cluster-15354.25179,GO:0055085
Cluster-15354.25458,GO:0055114
Cluster-15354.25580,GO:0006510
Cluster-15354.25619,GO:0009401
Cluster-15354.25620,GO:0009401
Cluster-15354.25622,GO:0009401
Cluster-15354.25623,GO:0006355
Cluster-15354.2596,GO:0006511
Cluster-15354.26407,GO:0006260
Cluster-15354.26780,GO:0016192
Cluster-15354.27157,GO:0000372
Cluster-15354.27290,GO:0006807
Cluster-15354.27615,GO:0006412
Cluster-15354.27784,GO:0006351
Cluster-15354.28229,GO:0050790
Cluster-15354.28443,GO:0008152
Cluster-15354.28485,GO:0055114
Cluster-15354.28956,GO:0006355
Cluster-15354.29049,GO:0015996
Cluster-15354.29338,GO:0006075
Cluster-15354.29396,GO:0006468
Cluster-15354.30036,GO:0016567
Cluster-15354.30173,GO:0015979
Cluster-15354.30341,GO:0006812
Cluster-15354.30476,GO:0006950
Cluster-15354.30632,GO:0015992
Cluster-15354.30807,GO:0055114
Cluster-15354.31002,GO:0006534
Cluster-15354.31054,GO:0016032
Cluster-15354.31329,GO:0016973
Cluster-15354.31377,GO:0009058
Cluster-15354.31908,GO:0055114
Cluster-15354.32089,GO:0015992
Cluster-15354.3238,GO:0055114
Cluster-15354.32560,GO:0015074
Cluster-15354.32579,GO:0007131
Cluster-15354.33019,GO:0006396
Cluster-15354.33561,GO:0008152
Cluster-15354.33813,GO:0055114
Cluster-15354.339,GO:0006810
Cluster-15354.3392,GO:0048193
Cluster-15354.34379,GO:0006629
Cluster-15354.34584,GO:0006812
Cluster-15354.34715,GO:0006298
Cluster-15354.35078,GO:0006260
Cluster-15354.35096,GO:0048544
Cluster-15354.35188,GO:0007067
Cluster-15354.35189,GO:0007067
Cluster-15354.3538,GO:0055114
Cluster-15354.357,GO:0006952
Cluster-15354.35777,GO:0009733
Cluster-15354.36004,GO:0000272
Cluster-15354.36507,GO:0006470
Cluster-15354.36518,GO:0006260
Cluster-15354.36521,GO:0019079
Cluster-15354.37026,GO:0006413
Cluster-15354.37051,GO:0007264
Cluster-15354.37055,GO:0015684
Cluster-15354.3706,GO:0006412
Cluster-15354.37256,GO:0055114
Cluster-15354.37264,GO:0016998
Cluster-15354.37266,GO:0016998
Cluster-15354.3746,GO:0007275
Cluster-15354.37521,GO:0006508
Cluster-15354.38251,GO:0009058
Cluster-15354.38394,GO:0006119
Cluster-15354.38428,GO:0042254
Cluster-15354.38429,GO:0042254
Cluster-15354.38767,GO:0015684
Cluster-15354.38955,GO:0000398
Cluster-15354.39134,GO:0006396
Cluster-15354.39187,GO:0006576
Cluster-15354.39338,GO:0055114
Cluster-15354.39386,GO:0006886
Cluster-15354.39426,GO:0051607
Cluster-15354.39541,GO:0016567
Cluster-15354.39547,GO:0046718
Cluster-15354.39597,GO:0009733
Cluster-15354.39611,GO:0006364
Cluster-15354.39628,GO:0051301
Cluster-15354.39663,GO:0008272
Cluster-15354.39665,GO:0006865
Cluster-15354.39819,GO:0055114
Cluster-15354.40088,GO:0043248
Cluster-15354.40116,GO:0009405
Cluster-15354.40636,GO:0009405
Cluster-15354.40658,GO:0006614
Cluster-15354.40659,GO:0006338
Cluster-15354.40926,GO:0000413
Cluster-15354.41046,GO:0046486
Cluster-15354.41522,GO:0006446
Cluster-15354.41734,GO:0006289
Cluster-15354.42500,GO:0006468
Cluster-15354.42584,GO:0043093
Cluster-15354.42634,GO:0007165
Cluster-15354.43009,GO:0005975
Cluster-15354.43076,GO:0006508
Cluster-15354.43077,GO:0006508
Cluster-15354.43078,GO:0006508
Cluster-15354.43454,GO:0055114
Cluster-15354.43459,GO:0006887
Cluster-15354.43464,GO:0055114
Cluster-15354.43630,GO:0006891
Cluster-15354.43631,GO:0006094
Cluster-15354.43635,GO:0006355
Cluster-15354.44091,GO:0006468
Cluster-15354.44208,GO:0006355
Cluster-15354.44343,GO:0006468
Cluster-15354.4445,GO:0006412
Cluster-15354.44530,GO:0006418
Cluster-15354.44567,GO:0051259
Cluster-15354.44618,GO:0055114
Cluster-15354.44683,GO:0010215
Cluster-15354.44803,GO:0000736
Cluster-15354.44952,GO:0042742
Cluster-15354.44983,GO:0006144
Cluster-15354.45244,GO:0006950
Cluster-15354.45460,GO:0006413
Cluster-15354.45461,GO:0006446
Cluster-15354.45547,GO:0016310
Cluster-15354.45591,GO:0045893
Cluster-15354.46150,GO:0006355
Cluster-15354.46192,GO:0006355
Cluster-15354.46464,GO:0006355
Cluster-15354.46589,GO:0051252
Cluster-15354.46731,GO:0015031
Cluster-15354.46972,GO:0005975
Cluster-15354.46982,GO:0005975
Cluster-15354.47028,GO:0006935
Cluster-15354.47055,GO:0009878
Cluster-15354.47108,GO:0006554
Cluster-15354.47114,GO:0006479
Cluster-15354.47143,GO:0055114
Cluster-15354.47145,GO:0006725
Cluster-15354.47272,GO:0009231
Cluster-15354.47641,GO:0042981
Cluster-15354.47671,GO:0019087
Cluster-15354.47795,GO:0006813
Cluster-15354.48096,GO:0006355
Cluster-15354.48097,GO:0006355
Cluster-15354.4844,GO:0010508
Cluster-15354.48745,GO:0006355
Cluster-15354.49227,GO:0006313
Cluster-15354.49498,GO:0015074
Cluster-15354.49839,GO:0055114
Cluster-15354.50056,GO:0006144
Cluster-15354.50146,GO:0007165
Cluster-15354.50299,GO:0044238
Cluster-15354.50569,GO:0007165
Cluster-15354.5065,GO:0007165
Cluster-15354.50842,GO:0006508
Cluster-15354.50855,GO:0015979
Cluster-15354.50921,GO:0016556
Cluster-15354.50985,GO:0007264
Cluster-15354.51379,GO:0006260
Cluster-15354.51965,GO:0006355
Cluster-15354.51990,GO:0006520
Cluster-15354.51991,GO:0009966
Cluster-15354.52132,GO:0015684
Cluster-15354.52152,GO:0051382
Cluster-15354.52333,GO:0006468
Cluster-15354.52420,GO:0019087
Cluster-15354.526,GO:0009753
Cluster-15354.52835,GO:0006413
Cluster-15354.52900,GO:1901031
Cluster-15354.52908,GO:0008152
Cluster-15354.52914,GO:0055085
Cluster-15354.52915,GO:0008152
Cluster-15354.52917,GO:0008152
Cluster-15354.52920,GO:0015931
Cluster-15354.5338,GO:0006096
Cluster-15354.53393,GO:0006144
Cluster-15354.53523,GO:0006629
Cluster-15354.537,GO:0006281
Cluster-15354.53950,GO:0008152
Cluster-15354.54093,GO:0015992
Cluster-15354.54116,GO:0030474
Cluster-15354.54355,GO:0006979
Cluster-15354.54714,GO:0055114
Cluster-15354.54776,GO:0016226
Cluster-15354.55179,GO:0000045
Cluster-15354.55215,GO:0055114
Cluster-15354.55216,GO:0055114
Cluster-15354.55670,GO:0006357
Cluster-15354.55691,GO:0009451
Cluster-15354.56244,GO:0019836
Cluster-15354.56263,GO:0007155
Cluster-15354.56273,GO:0045454
Cluster-15354.56897,GO:0005985
Cluster-15354.56984,GO:0006950
Cluster-15354.57149,GO:0006364
Cluster-15354.57504,GO:0008152
Cluster-15354.57513,GO:0006468
Cluster-15354.57734,GO:0007165
Cluster-15354.57763,GO:0007186
Cluster-15354.5780,GO:0016310
Cluster-15354.57856,GO:0046325
Cluster-15354.57859,GO:0055114
Cluster-15354.57921,GO:0006464
Cluster-15354.57950,GO:0006457
Cluster-15354.57958,GO:0006741
Cluster-15354.58076,GO:0006813
Cluster-15354.58097,GO:0008033
Cluster-15354.58338,GO:0005982
Cluster-15354.58342,GO:0005982
Cluster-15354.58605,GO:0007165
Cluster-15354.58899,GO:0009878
Cluster-15354.59200,GO:0008152
Cluster-15354.59428,GO:0006357
Cluster-15354.59559,GO:0006457
Cluster-15354.59875,GO:0006412
Cluster-15354.59876,GO:0005985
Cluster-15354.59913,GO:0009052
Cluster-15354.60252,GO:0015979
Cluster-15354.60527,GO:0006355
